ἐπύκτευσεν	e)pu/kteusen	πυκτεύω	pukteu/w	urn:cite2:hmt:lsj.chicago_md:n91460	v3saia---
ἐπῃσθόμην	e)ph|sqo/mhn	ἐπαισθάνομαι	e)paisqa/nomai	urn:cite2:hmt:lsj.chicago_md:n37891	v1saim---
ἐπῃσθόμην	e)ph|sqo/mhn	ἐπαισθάνομαι	e)paisqa/nomai	urn:cite2:hmt:lsj.chicago_md:n37891	v1siie---
ἐπῳδήν	e)pw|dh/n	ἐπῳδή	e)pw|dh/	urn:cite2:hmt:lsj.chicago_md:n42051	n-s---fa-
ἐπῶρσεν	e)pw=rsen	ἐπόρνυμι	e)po/rnumi	urn:cite2:hmt:lsj.chicago_md:n41852	v3saia---
ἐραστήν	e)rasth/n	ἐραστής	e)rasth/s	urn:cite2:hmt:lsj.chicago_md:n42132	n-s---ma-
ἐραστήν	e)rasth/n	ἐραστός	e)rasto/s	urn:cite2:hmt:lsj.chicago_md:n42134	a-s---fa-
ἐρετμοῖς	e)retmoi=s	ἐρετμόν	e)retmo/n	urn:cite2:hmt:lsj.chicago_md:n42319	n-p---nd-
ἐρετμοῖς	e)retmoi=s	ἐρετμός	e)retmo/s	urn:cite2:hmt:lsj.chicago_md:n42320	n-p---md-
ἐρετμοῖς	e)retmoi=s	ἐρετμόω	e)retmo/w	urn:cite2:hmt:lsj.chicago_md:n42321	v2spoa---
ἐρετμοῖς	e)retmoi=s	ἐρετμόω	e)retmo/w	urn:cite2:hmt:lsj.chicago_md:n42321	v2spsa---
