Αἰακιδᾶν	*ai)akida=n	Αἰακίδης	*ai)aki/dhs	n-p---mg-
κόμιζέ	ko/mize/	κομίζω	komi/zw	v2spma---
κόμιζέ	ko/mize/	κομίζω	komi/zw	v3siia---
κόμπος	ko/mpos	κόμπος	ko/mpos	n-s---mn-
κόσμον	ko/smon	κόσμος	ko/smos	n-s---ma-
κύκλος	ku/klos	κύκλος	ku/klos	n-s---mn-
κύκλου	ku/klou	κύκλος	ku/klos	n-s---mg-
κύκλου	ku/klou	κυκλόω	kuklo/w	v2spma---
κύκλου	ku/klou	κυκλόω	kuklo/w	v3siia---
κύκλῳ	ku/klw|	κύκλος	ku/klos	n-s---md-
κύνας	ku/nas	κύων	ku/wn	n-p---ma-
κύνας	ku/nas	κύων	ku/wn	n-p---fa-
κύνας	ku/nas	κυνάω	kuna/w	v2siia---
κώδωνος	kw/dwnos	κώδων	kw/dwn	n-s---mg-
κώδωνος	kw/dwnos	κώδων	kw/dwn	n-s---fg-
κᾆτι	ka)=|ti	εἶμι	ei)=mi	v3spia---
κῦμα	ku=ma	κῦμα	ku=ma	n-s---nn-
κῦμα	ku=ma	κῦμα	ku=ma	n-s---nv-
κῦμα	ku=ma	κῦμα	ku=ma	n-s---na-
λαβεῖν	labei=n	λαμβάνω	lamba/nw	v--ana---
λαβών	labw/n	λαμβάνω	lamba/nw	v-sapamn-
λαθίπονος	laqi/ponos	λαθίπονος	laqi/ponos	n-s---mn-
λαθίπονος	laqi/ponos	λαθίπονος	laqi/ponos	n-s---fn-
λαμπρᾶς	lampra=s	λαμπρός	lampro/s	a-s---fg-
λαμπτῆρες	lampth=res	λαμπτήρ	lampth/r	n-p---mn-
λαμπτῆρες	lampth=res	λαμπτήρ	lampth/r	n-p---mv-
λατρείας	latrei/as	λατρεία	latrei/a	n-p---fa-
λατρείας	latrei/as	λατρεία	latrei/a	n-s---fg-
λαφύροις	lafu/rois	λάφυρα	la/fura	n-p---nd-
λαχεῖν	laxei=n	λαγχάνω	lagxa/nw	v--ana---
λαχών	laxw/n	λαγχάνω	lagxa/nw	v-sapamn-
λεαίνης	leai/nhs	λέαινα	le/aina	n-s---fg-
λεηλατήσει	lehlath/sei	λεηλάτησις	lehla/thsis	n-d---fn-
λεηλατήσει	lehlath/sei	λεηλάτησις	lehla/thsis	n-d---fv-
λεηλατήσει	lehlath/sei	λεηλάτησις	lehla/thsis	n-d---fa-
λεηλατήσει	lehlath/sei	λεηλάτησις	lehla/thsis	n-s---fd-
λεηλατήσει	lehlath/sei	λεηλάτησις	lehla/thsis	n-s---fd-
λεηλατήσει	lehlath/sei	λεηλατέω	lehlate/w	v3sasa---
λεηλατήσει	lehlath/sei	λεηλατέω	lehlate/w	v2sfim---
λεηλατήσει	lehlath/sei	λεηλατέω	lehlate/w	v3sfia---
λειμώνι’	leimw/ni'	λειμώνιον	leimw/nion	n-p---nn-
λειμώνι’	leimw/ni'	λειμώνιον	leimw/nion	n-p---nv-
λειμώνι’	leimw/ni'	λειμώνιον	leimw/nion	n-p---na-
