urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260607T0312403920
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124411367
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1004.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T03124411368
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03124010111
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.speaker.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T10290110883
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token1	urn:cite2:fufolio:greekmorph.2026a:20260607T03125126950
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token2	urn:cite2:fufolio:greekmorph.2026a:20260607T03124456311
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03125121725
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token3	urn:cite2:fufolio:greekmorph.2026a:20260607T03125121726
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124449235
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124449236
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token4	urn:cite2:fufolio:greekmorph.2026a:20260607T03124449237
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token5	urn:cite2:fufolio:greekmorph.2026a:20260610T1311501059
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405904
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260608T1833430067
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token6	urn:cite2:fufolio:greekmorph.2026a:20260608T1833431486
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260607T0312405895
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token7	urn:cite2:fufolio:greekmorph.2026a:20260608T1833432982
urn:cts:greekLit:tlg0006.tlg006.fu-sp.tok:1005.1.text.token8	urn:cite2:fufolio:greekmorph.2026a:20260607T0312539287
