Μεγαρεῦσιν	*megareu=sin	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---md-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---nn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---nv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---na-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-d---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-d---fv-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-d---fa-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---fn-
Μεγαρικά	*megarika/	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---fv-
Μεγαρικός	*megariko/s	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-s---mn-
Μεγαροῖ	*megaroi=	Μεγαροῖ	*megaroi=	urn:cite2:hmt:lsj.chicago_md:n65547	d--------
Μεγαρέας	*megare/as	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---ma-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mg-
Μεγαρέων	*megare/wn	Μεγαρεύς	*megareu/s	urn:cite2:hmt:lsj.chicago_md:n65542	n-p---mg-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---nn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---nv-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-p---na-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-d---fn-
Μεγαρίκ’	*megari/k'	Μεγαρικός	*megariko/s	urn:cite2:hmt:lsj.chicago_md:n65544	a-d---fv-
