Αὐλίδι	*au)li/di	Αὐλίς	*au)li/s	n-s---fd-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---nn-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---nv-
πράγματ’	pra/gmat'	πρᾶγμα	pra=gma	n-d---na-
πράξαντες	pra/cantes	πράσσω	pra/ssw	v-papamn-
πράξαντες	pra/cantes	πράσσω	pra/ssw	v-papamv-
πράξαντες	pra/cantes	πράσσω	pra/ssw	v-papamn-
πράξαντες	pra/cantes	πράσσω	pra/ssw	v-papamv-
πράσσει	pra/ssei	πράσσω	pra/ssw	v2spie---
πράσσει	pra/ssei	πράσσω	pra/ssw	v3spia---
πράσσειν	pra/ssein	πράσσω	pra/ssw	v--pna---
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-pppann-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-pppanv-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-pppana-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-sppama-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-sppamd-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-sppand-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v3ppia---
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppamn-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppamv-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppama-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppann-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppanv-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v-dppana-
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v3ppie---
πράσσονθ’	pra/ssonq'	πράσσω	pra/ssw	v3piie---
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-sppafn-
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-sppafv-
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-pppamd-
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-pppand-
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v3ppia---
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-pppafn-
πράσσουσ’	pra/ssous'	πράσσω	pra/ssw	v-pppafv-
πράσσω	pra/ssw	πράσσω	pra/ssw	v1spsa---
πράσσω	pra/ssw	πράσσω	pra/ssw	v1spia---
πρέπει	pre/pei	πρέπω	pre/pw	v2spie---
πρέπει	pre/pei	πρέπω	pre/pw	v3spia---
πρέσβειρ’	pre/sbeir'	πρέσβειρα	pre/sbeira	n-s---fn-
πρέσβειρ’	pre/sbeir'	πρέσβειρα	pre/sbeira	n-s---fv-
πρέσβειρ’	pre/sbeir'	πρέσβειρα	pre/sbeira	n-p---fn-
πρέσβειρ’	pre/sbeir'	πρέσβειρα	pre/sbeira	n-p---fv-
