Αἰγύπτιος	*ai)gu/ptios	Αἰγύπτιος	*ai)gu/ptios	a-s---mn-
Πελαργικέ	*pelargike/	Πελαργικός	*pelargiko/s	a-s---mv-
Πελαργικέ	*pelargike/	πελαργικός	pelargiko/s	a-s---mv-
Πελαργικόν	*pelargiko/n	Πελαργικός	*pelargiko/s	a-s---ma-
Πελαργικόν	*pelargiko/n	Πελαργικός	*pelargiko/s	a-s---nn-
Πελαργικόν	*pelargiko/n	Πελαργικός	*pelargiko/s	a-s---nv-
Πελαργικόν	*pelargiko/n	Πελαργικός	*pelargiko/s	a-s---na-
Πελαργικόν	*pelargiko/n	πελαργικός	pelargiko/s	a-s---ma-
Πελαργικόν	*pelargiko/n	πελαργικός	pelargiko/s	a-s---nn-
Πελαργικόν	*pelargiko/n	πελαργικός	pelargiko/s	a-s---nv-
Πελαργικόν	*pelargiko/n	πελαργικός	pelargiko/s	a-s---na-
Πελλήνης	*pellh/nhs	Πελλήνη	*pellh/nh	n-s---fg-
Περσικοῦ	*persikou=	Περσικός	*persiko/s	a-s---mg-
Περσικοῦ	*persikou=	Περσικός	*persiko/s	a-s---ng-
Περσικοῦ	*persikou=	Περσικός	*persiko/s	a-s---mg-
Περσικοῦ	*persikou=	Περσικός	*persiko/s	a-s---ng-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---ma-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---nn-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---nv-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---na-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---ma-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---nn-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---nv-
Περσικόν	*persiko/n	Περσικός	*persiko/s	a-s---na-
Περσικός	*persiko/s	Περσικός	*persiko/s	a-s---mn-
Περσικός	*persiko/s	Περσικός	*persiko/s	a-s---mn-
Περσῶν	*persw=n	Πέρσης	*pe/rshs	n-p---mg-
Περσῶν	*persw=n	πέρθω	pe/rqw	v-sfpamn-
Πείσανδρος	*pei/sandros	Πείσανδρος	*pei/sandros	n-s---mn-
Πινδάρειον	*pinda/reion	Πινδάρειος	*pinda/reios	a-s---ma-
Πινδάρειον	*pinda/reion	Πινδάρειος	*pinda/reios	a-s---nn-
Πινδάρειον	*pinda/reion	Πινδάρειος	*pinda/reios	a-s---nv-
Πινδάρειον	*pinda/reion	Πινδάρειος	*pinda/reios	a-s---na-
Πισθέταιρον	*pisqe/tairon	Πισθέταιρος	*pisqe/tairos	n-s---ma-
Πισθέταιρος	*pisqe/tairos	Πισθέταιρος	*pisqe/tairos	n-s---mn-
