urn:cite2:hmt:lsj.chicago_md:n195	ἀβρότονον; wormwood, Artemisia arborescens; southernwood, Artemisia fragrans; lavender cotton, Santolina Chamaecyparissus
urn:cite2:hmt:lsj.chicago_md:n196	ἄβροτος; holy; without men, deserted of men
urn:cite2:hmt:lsj.chicago_md:n197	ἁβροχαίτης
urn:cite2:hmt:lsj.chicago_md:n198	ἀβροχέω; not to be inundated
urn:cite2:hmt:lsj.chicago_md:n199	ἀβροχία; want of rain, drought; failure of the inundation
urn:cite2:hmt:lsj.chicago_md:n200	ἀβροχικός
urn:cite2:hmt:lsj.chicago_md:n201	ἀβρόχιστος
urn:cite2:hmt:lsj.chicago_md:n202	ἄβροχος; unwetted, unmoistened; without getting wet; wanting rain, waterless; not inundated
urn:cite2:hmt:lsj.chicago_md:n203	ἁβροχίτων; in soft tunic, softly clad; with soft coverings
urn:cite2:hmt:lsj.chicago_md:n204	ἅβρυνα; mulberries
urn:cite2:hmt:lsj.chicago_md:n205	ἁβρυντής; coxcomb, fop
urn:cite2:hmt:lsj.chicago_md:n206	ἁβρύνω; make delicate, treat delicately; deck out; live delicately; wax wanton, give oneself airs; pride, plume oneself on a
urn:cite2:hmt:lsj.chicago_md:n207	ἄβρυστος
urn:cite2:hmt:lsj.chicago_md:n208	ἅβρωμα; a womanʼs garment
urn:cite2:hmt:lsj.chicago_md:n209	ἄβρωμος; free from smell
urn:cite2:hmt:lsj.chicago_md:n210	Ἄβρων; Abron
urn:cite2:hmt:lsj.chicago_md:n211	ἀβρώς; not devoured; not bitten
urn:cite2:hmt:lsj.chicago_md:n212	ἀβρωσία; want of food, fasting
urn:cite2:hmt:lsj.chicago_md:n213	ἄβρωτος; uneatable, not good for food; not eaten; without eating
urn:cite2:hmt:lsj.chicago_md:n214	Ἄβυδος; Abydos; from Abydos; at Abydos; of; of Abydos; something unpleasant
urn:cite2:hmt:lsj.chicago_md:n215	ἀβύθητος
urn:cite2:hmt:lsj.chicago_md:n216	ἄβυθος
urn:cite2:hmt:lsj.chicago_md:n217	ἀβύρβηλος
urn:cite2:hmt:lsj.chicago_md:n218	ἀβύρσευτος; untanned
urn:cite2:hmt:lsj.chicago_md:n219	ἀβυρτάκη; sour sauce of leeks, cress, and pomegranateseeds
urn:cite2:hmt:lsj.chicago_md:n220	ἀβυρτακοποιός; making
urn:cite2:hmt:lsj.chicago_md:n221	ἀβυρτακώδης; like
urn:cite2:hmt:lsj.chicago_md:n222	ἄβυσσος; bottomless, unfathomed; unfathomable, boundless; the great deep; the abyss, underworld, Ev. Luc; the infinite void
urn:cite2:hmt:lsj.chicago_md:n223	ἀβῶ
urn:cite2:hmt:lsj.chicago_md:n224	ἀβωλόκοπος; not hoed
urn:cite2:hmt:lsj.chicago_md:n225	ἄβωλος; not mixed with clods of earth
urn:cite2:hmt:lsj.chicago_md:n226	ἀβώρ
urn:cite2:hmt:lsj.chicago_md:n227	ἄβως; speechless
urn:cite2:hmt:lsj.chicago_md:n228	ἀγ
urn:cite2:hmt:lsj.chicago_md:n229	ἀγα-; very; ṃga
urn:cite2:hmt:lsj.chicago_md:n230	ἄγα
urn:cite2:hmt:lsj.chicago_md:n231	ἀγάασθαι
urn:cite2:hmt:lsj.chicago_md:n232	ἀγάζηλοι
urn:cite2:hmt:lsj.chicago_md:n233	ἀγάζω; exalt overmuch; honour, adore
urn:cite2:hmt:lsj.chicago_md:n234	ἀγαθάγγελος; bringing good tidings
urn:cite2:hmt:lsj.chicago_md:n235	ἀγαθαίνω
urn:cite2:hmt:lsj.chicago_md:n236	ἀγαθείκελος; like the good
urn:cite2:hmt:lsj.chicago_md:n237	ἀγαθίδιον
urn:cite2:hmt:lsj.chicago_md:n238	ἀγαθικός
urn:cite2:hmt:lsj.chicago_md:n239	ἀγαθίς; ball of thread; quantities
urn:cite2:hmt:lsj.chicago_md:n240	ἀγαθογονία; production of good
urn:cite2:hmt:lsj.chicago_md:n241	ἀγαθοδαιμονέω; occupy the house of
urn:cite2:hmt:lsj.chicago_md:n242	ἀγαθοδαιμονητικός; belonging thereto
urn:cite2:hmt:lsj.chicago_md:n243	ἀγαθοδαιμονισταί; guests who drink only to the; moderate drinkers
urn:cite2:hmt:lsj.chicago_md:n244	ἀγαθοδαιμονιασταί
