urn:cite2:hmt:lsj.chicago_md:n301	ἀγαλματο-ποιικός	agalmatopoiikos
urn:cite2:hmt:lsj.chicago_md:n302	ἀγαλματο-ποιός	agalmatopoios
urn:cite2:hmt:lsj.chicago_md:n303	ἀγαλματ-ουργία	agalmatourgia
urn:cite2:hmt:lsj.chicago_md:n304	ἀγαλματ-ουργικός	agalmatourgikos
urn:cite2:hmt:lsj.chicago_md:n305	ἀγαλματ-ουργός	agalmatourgos
urn:cite2:hmt:lsj.chicago_md:n306	ἀγαλματο-φορέω	agalmatoforew
urn:cite2:hmt:lsj.chicago_md:n307	ἀγαλματο-φόρος	agalmatoforos
urn:cite2:hmt:lsj.chicago_md:n308	ἀγαλματο-φώρας	agalmatofwras
urn:cite2:hmt:lsj.chicago_md:n309	ἀγαλματ-όω	agalmatow
urn:cite2:hmt:lsj.chicago_md:n310	ἀγαλματ-ώδης	agalmatwdhs
urn:cite2:hmt:lsj.chicago_md:n311	ἀγαλμητόν·	agalmhton
urn:cite2:hmt:lsj.chicago_md:n312	ἀγαλμο-ειδής	agalmoeidhs
urn:cite2:hmt:lsj.chicago_md:n313	ἀγαλμο-τῠπεύς	agalmotupeus
urn:cite2:hmt:lsj.chicago_md:n314	ἀγάλοχον	agaloxon
urn:cite2:hmt:lsj.chicago_md:n315	ἄγαλσις	agalsis
urn:cite2:hmt:lsj.chicago_md:n316	ἄγᾰμαι	agamai
urn:cite2:hmt:lsj.chicago_md:n317	Ἀγαμέμνων	agamemnwn
urn:cite2:hmt:lsj.chicago_md:n319	ἀγᾰμένως	agamenws
urn:cite2:hmt:lsj.chicago_md:n320	ἀγάμ-ετος	agametos
urn:cite2:hmt:lsj.chicago_md:n321	ἀγαμ-ία	agamia
urn:cite2:hmt:lsj.chicago_md:n322	ἀγαμ-ίου	agamiou
urn:cite2:hmt:lsj.chicago_md:n323	ἄγαμ-ος	agamos
urn:cite2:hmt:lsj.chicago_md:n324	ἄγαν	agan
urn:cite2:hmt:lsj.chicago_md:n325	ἄγανα·	agana
urn:cite2:hmt:lsj.chicago_md:n326	ἀγᾰνακτ-έω	aganaktew
urn:cite2:hmt:lsj.chicago_md:n327	ἀγᾰνάκτ-ησις	aganakthsis
urn:cite2:hmt:lsj.chicago_md:n328	ἀγᾰνακτ-ητέον	aganakthteon
urn:cite2:hmt:lsj.chicago_md:n329	ἀγᾰνακτ-ητικός	aganakthtikos
urn:cite2:hmt:lsj.chicago_md:n330	ἀγᾰνακτ-ητός	aganakthtos
urn:cite2:hmt:lsj.chicago_md:n331	ἀγᾰνακτ-ικός	aganaktikos
urn:cite2:hmt:lsj.chicago_md:n332	ἀγάνεται·	aganetai
urn:cite2:hmt:lsj.chicago_md:n333	ἀγάννα·	aganna
urn:cite2:hmt:lsj.chicago_md:n334	ἀγάννῐφος	agannifos
urn:cite2:hmt:lsj.chicago_md:n335	ἀγᾰνοβλέφαρος	aganoblefaros
urn:cite2:hmt:lsj.chicago_md:n336	ἀγανόμματος	aganommatos
urn:cite2:hmt:lsj.chicago_md:n337	ἀγᾱνόρειος	aganoreios
urn:cite2:hmt:lsj.chicago_md:n338	ἀγᾰνός	aganos
urn:cite2:hmt:lsj.chicago_md:n339	ἄγᾰνος	aganos
urn:cite2:hmt:lsj.chicago_md:n340	ἀγανο-φροσύνη	aganofrosunh
urn:cite2:hmt:lsj.chicago_md:n341	ἀγανό-φρων	aganofrwn
urn:cite2:hmt:lsj.chicago_md:n342	ἀγανῶπις	aganwpis
urn:cite2:hmt:lsj.chicago_md:n343	ἀγάνωτος	aganwtos
urn:cite2:hmt:lsj.chicago_md:n344	ἀγάομαι	agaomai
urn:cite2:hmt:lsj.chicago_md:n345	ἀγαπάζω	agapazw
